,Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
0,1,15048,Travis Kelce,KC,TE,6,BUF,23,30,7200.0,17.36
1,1,19063,George Kittle,SF,TE,6,LAR,3,15,6800.0,16.11
2,1,19803,Mark Andrews,BAL,TE,6,PHI,21,28,6500.0,14.45
3,1,18990,Jonnu Smith,TEN,TE,6,HOU,20,15,5200.0,12.4
