,Rank,PlayerID,Name,Team,Position,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
0,1,97,Washington Commanders,WAS,DST,1,PHI,13.0,8,15,2,1,0,0,0,17,15,15
1,1,36,Baltimore Ravens,BAL,DST,1,CLE,4.0,2,6,1,2,0,0,0,6,15,15
2,1,69,New Orleans Saints,NO,DST,1,TB,5.0,3,7,2,1,0,1,0,23,17,17
3,1,84,Los Angeles Chargers,LAC,DST,1,CIN,6.5,3,6,1,1,0,0,0,13,11,11
