,Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
0,1,20824,Josh Jacobs,LV,RB,1,CAR,25,93,3.7,3,6,4,46,0,0,0,35.9,35.9
1,1,18877,Christian McCaffrey,CAR,RB,1,LV,23,97,4.2,2,4,3,38,0,0,0,28.5,28.5
2,1,17923,Ezekiel Elliott,DAL,RB,1,LAR,22,96,4.4,1,4,3,31,1,0,0,27.7,27.7
3,1,17053,Malcolm Brown,LAR,RB,1,DAL,18,79,4.4,2,4,3,31,0,0,0,26.0,26.0
