,Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
0,1,14536,Russell Wilson,SEA,QB,1,ATL,31,35,88.6,322,9.2,4,0,143.1,3,29,9.7,0,34.8,34.78
1,1,2593,Aaron Rodgers,GB,QB,1,MIN,32,44,72.7,364,8.3,4,0,127.46,1,2,2.0,0,33.8,33.76
2,1,19801,Josh Allen,BUF,QB,1,NYJ,33,46,71.7,312,6.8,2,0,104.62,14,57,4.1,1,33.2,33.18
3,1,19781,Lamar Jackson,BAL,QB,1,CLE,20,25,80.0,275,11.0,3,0,152.08,7,45,6.4,0,27.5,27.5
