,Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
0,1,19781,Lamar Jackson,BAL,QB,1,CLE,20.0,21.0,8100.0,24.36
1,1,18890,Patrick Mahomes,KC,QB,1,HOU,27.0,29.0,7400.0,26.86
2,1,18055,Dak Prescott,DAL,QB,1,LAR,14.0,11.0,6900.0,20.75
3,1,14536,Russell Wilson,SEA,QB,1,ATL,21.0,25.0,7000.0,20.33
