,Rank,PlayerID,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
0,1,19803,Mark Andrews,BAL,TE,1,CLE,6,5,83.3,58,2,21,9.7,11.6,0,0,0.0,0,0,0,22.8,22.8
1,1,19863,Dallas Goedert,PHI,TE,1,WAS,9,8,88.9,101,1,34,11.2,12.6,0,0,0.0,0,0,0,27.1,27.1
2,1,20753,Noah Fant,DEN,TE,1,TEN,6,5,83.3,81,1,31,13.5,16.2,0,0,0.0,0,0,0,19.1,19.1
3,1,20805,T.J. Hockenson,DET,TE,1,CHI,5,5,100.0,56,1,24,11.2,11.2,0,0,0.0,0,0,0,16.6,16.6
