,Rank,PlayerID,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
0,1,20077,Richie James,SF,WR,9,GB,13,9,69.2,184,1,47,14.2,20.4,0,0,0.0,0,0,0,36.4,36.4
1,1,18082,Tyreek Hill,KC,WR,9,CAR,18,9,50.0,113,2,28,6.3,12.6,1,8,8.0,0,0,0,36.1,36.1
2,1,16470,Davante Adams,GB,WR,9,SF,12,10,83.3,173,1,49,14.4,17.3,0,0,0.0,0,0,0,36.3,36.3
3,1,16787,Breshad Perriman,NYJ,WR,9,NE,7,5,71.4,101,2,50,14.4,20.2,0,0,0.0,0,0,0,30.1,30.1
