,Rank,PlayerID,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
0,1,16470,Davante Adams,GB,WR,1,MIN,17,14,82.4,156,2,40,9.2,11.1,0,0,0.0,0,0,0,44.6,44.6
1,1,15534,Adam Thielen,MIN,WR,1,GB,8,6,75.0,110,2,37,13.8,18.3,0,0,0.0,0,0,0,34.0,34.0
2,1,19802,Calvin Ridley,ATL,WR,1,SEA,12,9,75.0,130,2,22,10.8,14.4,1,-1,-1.0,0,0,0,36.9,36.9
3,1,20943,Darius Slayton,NYG,WR,1,PIT,9,6,66.7,102,2,41,11.3,17.0,0,0,0.0,0,0,0,31.2,31.2
