,Rank,PlayerID,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
0,1,16597,Mike Evans,TB,WR,8,TEN,12,11,91.7,198,2,46,16.5,18.0,0,0,0.0,0,0,0,45.8,45.8
1,1,18882,Cooper Kupp,LAR,WR,8,CIN,10,7,70.0,220,1,65,22.0,31.4,0,0,0.0,0,0,0,38.0,38.0
2,1,18977,Kenny Golladay,DET,WR,8,NYG,8,6,75.0,123,2,41,15.4,20.5,0,0,0.0,0,1,1,32.3,32.3
3,1,8355,Julian Edelman,NE,WR,8,CLE,11,8,72.7,78,2,23,7.1,9.8,1,-3,-3.0,0,0,0,27.5,27.5
