,Rank,PlayerID,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
0,1,16003,Sammy Watkins,KC,WR,1,JAX,11,9,81.8,198,3,68,18.0,22.0,0,0,0.0,0,0,0,49.8,49.8
1,1,18881,John Ross,CIN,WR,1,SEA,12,7,58.3,158,2,55,13.2,22.6,0,0,0.0,0,0,0,37.8,37.8
2,1,3943,DeSean Jackson,PHI,WR,1,WAS,9,8,88.9,154,2,53,17.1,19.2,0,0,0.0,0,0,0,38.4,38.4
3,1,21045,Marquise Brown,BAL,WR,1,MIA,5,4,80.0,147,2,83,29.4,36.8,0,0,0.0,0,0,0,33.7,33.7
