,Rank,PlayerID,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
0,1,20805,T.J. Hockenson,DET,TE,1,ARI,9,6,66.7,131,1,39,14.6,21.8,0,0,0.0,0,0,0,28.1,28.1
1,1,18912,Evan Engram,NYG,TE,1,DAL,14,11,78.6,116,1,22,8.3,10.5,0,0,0.0,0,0,0,31.6,31.6
2,1,7175,Delanie Walker,TEN,TE,1,CLE,6,5,83.3,55,2,16,9.2,11.0,0,0,0.0,0,0,0,22.5,22.5
3,1,19803,Mark Andrews,BAL,TE,1,MIA,8,8,100.0,108,1,39,13.5,13.5,0,0,0.0,0,0,0,27.8,27.8
