,Unnamed: 0,PlayerID,Name,Position,Week,Team,Opponent,Salary,FantasyPoints,FantasyPoints_DraftKingsProjection,FantasyPoints_OurPrediction
0,161,32,Los Angeles Rams,DST,6,LAR,NYG,4700,16,9.3,6.027235983507089
1,162,83,Las Vegas Raiders,DST,6,LV,DEN,3100,15,6.1,6.3116680860236105
2,163,48,Dallas Cowboys,DST,6,DAL,NE,3200,15,7.7,8.83204573716384
3,164,14,Indianapolis Colts,DST,6,IND,HOU,3500,15,10.2,7.571856911593731
