,Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
0,1,18858,Joe Mixon,CIN,RB,1,MIN,29,127,4.4,1,4,4,23,0,0,0,28.0,28.0
1,1,19798,Nick Chubb,CLE,RB,1,KC,15,83,5.5,2,2,2,18,0,1,1,23.1,23.1
2,1,18877,Christian McCaffrey,CAR,RB,1,NYJ,21,98,4.7,0,9,9,89,0,0,0,27.7,27.7
3,1,20882,David Montgomery,CHI,RB,1,LAR,16,108,6.8,1,1,1,10,0,0,0,21.8,21.8
