,Rank,PlayerID,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
0,1,22592,Elijah Moore,NYJ,WR,9,IND,8,7,87.5,84,2,26,10.5,12.0,0,0,0.0,0,0,0,27.4,27.4
1,1,21142,Olamide Zaccheaus,ATL,WR,9,NO,3,3,100.0,58,2,49,19.3,19.3,0,0,0.0,0,0,0,20.8,20.8
2,1,21687,DeVonta Smith,PHI,WR,9,LAC,6,5,83.3,116,1,28,19.3,23.2,0,0,0.0,0,0,0,25.6,25.6
3,1,21961,Darnell Mooney,CHI,WR,9,PIT,6,3,50.0,41,1,20,6.8,13.7,1,15,15.0,1,0,0,20.6,20.6
