,Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
0,1,93,San Francisco 49ers,SF,DST,1,DET,,,4200.0,9.5
1,1,5,Carolina Panthers,CAR,DST,1,NYJ,,,3600.0,9.3
2,1,49,Denver Broncos,DEN,DST,1,NYG,,,3300.0,9.1
3,1,32,Los Angeles Rams,LAR,DST,1,CHI,,,4400.0,9.1
