,Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
0,1,18890,Patrick Mahomes,KC,QB,1,CLE,20,25,8100.0,27.4
1,1,20889,Kyler Murray,ARI,QB,1,TEN,27,28,7600.0,24.19
2,1,19781,Lamar Jackson,BAL,QB,1,LV,26,26,7700.0,23.93
3,1,19801,Josh Allen,BUF,QB,1,PIT,2,2,7400.0,23.56
