,Rank,PlayerID,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
0,1,18082,Tyreek Hill,KC,WR,1,CLE,15,11,73.3,197,1,75,13.1,17.9,1,4,4.0,0,0,0,40.1,40.1
1,1,16765,Amari Cooper,DAL,WR,1,TB,16,13,81.2,139,2,28,8.7,10.7,0,0,0.0,0,0,0,41.9,41.9
2,1,20932,Deebo Samuel,SF,WR,1,DET,12,9,75.0,189,1,79,15.8,21.0,0,0,0.0,0,1,1,35.9,35.9
3,1,16830,Tyler Lockett,SEA,WR,1,IND,5,4,80.0,100,2,69,20.0,25.0,0,0,0.0,0,0,0,29.0,29.0
