,Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
0,1,18082,Tyreek Hill,KC,WR,6,WAS,31,28.0,8500.0,20.9
1,1,16470,Davante Adams,GB,WR,6,CHI,8,24.0,9000.0,22.54
2,1,18882,Cooper Kupp,LAR,WR,6,NYG,27,13.0,7900.0,19.79
3,1,16906,Stefon Diggs,BUF,WR,6,TEN,24,32.0,7400.0,18.99
