,Unnamed: 0,PlayerID,Name,Position,Week,Team,Opponent,Attempts,RushShare,Targets,TargetShare,OPR,Salary,FantasyPoints,FantasyPoints_DraftKingsProjection,RushShareMean_Rolling,TargetShareMean_Rolling,FantasyPointsMean_Rolling,RushShareMean_Last3,TargetShareMean_Last3,FantasyPointsMean_Last3,RushShareMean_Last5,TargetShareMean_Last5,FantasyPointsMean_Last5,QBInjured,RBInjured,WRInjured,TEInjured
0,31,16003,Sammy Watkins,WR,1,KC,JAX,0,0.0,11,0.3235294117647059,1.0,5000.0,49.8,11.57,,,,,,,,,,0,0,0,0
1,42,3943,DeSean Jackson,WR,1,PHI,WAS,0,0.0,9,0.2307692307692308,23.0,4500.0,38.4,10.26,,,,,,,,,,0,0,0,0
2,66,18881,John Ross,WR,1,CIN,SEA,0,0.0,12,0.25,19.0,3900.0,37.8,7.46,,,,,,,,,,0,0,0,0
3,0,14986,DeAndre Hopkins,WR,1,HOU,NO,0,0.0,13,0.4482758620689655,32.0,8200.0,34.1,19.79,,,,,,,,,,0,0,0,0
